Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.14","300.86","192,780.00","57,999,790.80","57,999,790.80","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"SWKS","SKYWORKS SOLUTIONS INC","Equity","0.13","120.88","475,067.00","57,426,098.96","57,426,098.96","Information Technology","2961053","US83088M1027","NASDAQ"
"FCX","FREEPORT MCMORAN INC","Equity","0.13","13.12","4,286,383.00","56,237,344.96","56,237,344.96","Materials","2352118","US35671D8570","New York Stock Exchange Inc."
"WDC","WESTERN DIGITAL CORP","Equity","0.13","63.47","874,580.00","55,509,592.60","55,509,592.60","Information Technology","2954699","US9581021055","NASDAQ"
"AEE","AMEREN CORP","Equity","0.13","76.80","721,714.00","55,427,635.20","55,427,635.20","Utilities","2050832","US0236081024","New York Stock Exchange Inc."
"ARE","ALEXANDRIA REAL ESTATE EQUITIES RE","Equity","0.13","161.58","335,371.00","54,189,246.18","54,189,246.18","Real Estate","2009210","US0152711091","New York Stock Exchange Inc."
"AMP","AMERIPRISE FINANCE INC","Equity","0.13","166.58","320,747.00","53,430,035.26","53,430,035.26","Financials","B0J7D57","US03076C1062","New York Stock Exchange Inc."
"IP","INTERNATIONAL PAPER","Equity","0.13","46.05","1,157,731.00","53,313,512.55","53,313,512.55","Materials","2465254","US4601461035","New York Stock Exchange Inc."
"HES","HESS CORP","Equity","0.12","66.81","791,761.00","52,897,552.41","52,897,552.41","Energy","2023748","US42809H1077","New York Stock Exchange Inc."
"RSG","REPUBLIC SERVICES INC","Equity","0.12","89.63","587,689.00","52,674,565.07","52,674,565.07","Industrials","2262530","US7607591002","New York Stock Exchange Inc."
"CMS","CMS ENERGY CORP","Equity","0.12","62.84","833,780.00","52,394,735.20","52,394,735.20","Utilities","2219224","US1258961002","New York Stock Exchange Inc."
"DHI","D R HORTON INC","Equity","0.12","52.75","986,912.00","52,059,608.00","52,059,608.00","Consumer Discretionary","2250687","US23331A1097","New York Stock Exchange Inc."
"CFG","CITIZENS FINANCIAL GROUP INC","Equity","0.12","40.61","1,276,850.00","51,852,878.50","51,852,878.50","Financials","BQRX1X3","US1746101054","New York Stock Exchange Inc."
"MCHP","MICROCHIP TECHNOLOGY INC","Equity","0.12","104.72","494,956.00","51,831,792.32","51,831,792.32","Information Technology","2592174","US5950171042","NASDAQ"
"FTV","FORTIVE CORP","Equity","0.12","76.39","678,490.00","51,829,851.10","51,829,851.10","Industrials","BYT3MK1","US34959J1088","New York Stock Exchange Inc."
"MRVL","MARVELL TECHNOLOGY GROUP LTD","Equity","0.12","26.56","1,949,633.00","51,782,252.48","51,782,252.48","Information Technology","2594653","BMG5876H1051","NASDAQ"
"CXO","CONCHO RESOURCES INC","Equity","0.12","87.57","589,046.00","51,582,758.22","51,582,758.22","Energy","B1YWRK7","US20605P1012","New York Stock Exchange Inc."
"NUE","NUCOR CORP","Equity","0.12","56.28","902,245.00","50,778,348.60","50,778,348.60","Materials","2651086","US6703461052","New York Stock Exchange Inc."
"DFS","DISCOVER FINANCIAL SERVICES","Equity","0.12","84.82","597,128.00","50,648,396.96","50,648,396.96","Financials","B1YLC43","US2547091080","New York Stock Exchange Inc."
"PEAK","HEALTHPEAK PROPERTIES INC","Equity","0.12","34.47","1,451,748.00","50,041,753.56","50,041,753.56","Real Estate","BJBLRK3","US42250P1030","New York Stock Exchange Inc."
"SYF","SYNCHRONY FINANCIAL","Equity","0.12","36.01","1,383,574.00","49,822,499.74","49,822,499.74","Financials","BP96PS6","US87165B1035","New York Stock Exchange Inc."
"BKR","BAKER HUGHES CLASS A","Equity","0.11","25.63","1,911,416.00","48,989,592.08","48,989,592.08","Energy","BDHLTQ5","US05722G1004","New York Stock Exchange Inc."
"CAG","CONAGRA BRANDS INC","Equity","0.11","34.24","1,430,666.00","48,986,003.84","48,986,003.84","Consumer Staples","2215460","US2058871029","New York Stock Exchange Inc."
"RF","REGIONS FINANCIAL CORP","Equity","0.11","17.16","2,834,592.00","48,641,598.72","48,641,598.72","Financials","B01R311","US7591EP1005","New York Stock Exchange Inc."
"TIF","TIFFANY","Equity","0.11","133.65","357,582.00","47,790,834.30","47,790,834.30","Consumer Discretionary","2892090","US8865471085","New York Stock Exchange Inc."
"HCA","HCA HEALTHCARE INC","Equity","0.11","147.81","321,122.00","47,465,042.82","47,465,042.82","Health Care","B4MGBG6","US40412C1018","New York Stock Exchange Inc."
"FRC","FIRST REPUBLIC BANK","Equity","0.11","117.45","403,262.00","47,363,121.90","47,363,121.90","Financials","B4WHY15","US33616C1009","New York Stock Exchange Inc."
"INVH","INVITATION HOMES INC","Equity","0.11","29.97","1,577,734.00","47,284,687.98","47,284,687.98","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
"CINF","CINCINNATI FINANCIAL CORP","Equity","0.11","105.15","448,383.00","47,147,472.45","47,147,472.45","Financials","2196888","US1720621010","NASDAQ"
"UAL","UNITED AIRLINES HOLDINGS INC","Equity","0.11","88.09","530,832.00","46,760,990.88","46,760,990.88","Industrials","B4QG225","US9100471096","NASDAQ"
"BBY","BEST BUY INC","Equity","0.11","87.80","526,412.00","46,218,973.60","46,218,973.60","Consumer Discretionary","2094670","US0865161014","New York Stock Exchange Inc."
"IQV","IQVIA HOLDINGS INC","Equity","0.11","154.51","297,416.00","45,953,746.16","45,953,746.16","Health Care","BDR73G1","US46266C1053","New York Stock Exchange Inc."
"HBAN","HUNTINGTON BANCSHARES INC","Equity","0.11","15.08","3,019,903.00","45,540,137.24","45,540,137.24","Financials","2445966","US4461501045","NASDAQ"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.11","169.17","267,175.00","45,197,994.75","45,197,994.75","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"PFG","PRINCIPAL FINANCIAL GROUP INC","Equity","0.11","55.00","818,649.00","45,025,695.00","45,025,695.00","Financials","2803014","US74251V1026","NASDAQ"
"MGM","MGM RESORTS INTERNATIONAL","Equity","0.10","33.27","1,341,226.00","44,622,589.02","44,622,589.02","Consumer Discretionary","2547419","US5529531015","New York Stock Exchange Inc."
"KSU","KANSAS CITY SOUTHERN","Equity","0.10","153.16","290,275.00","44,458,519.00","44,458,519.00","Industrials","2607647","US4851703029","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","0.10","131.86","336,567.00","44,379,724.62","44,379,724.62","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"GLW","CORNING INC","Equity","0.10","29.11","1,521,181.00","44,281,578.91","44,281,578.91","Information Technology","2224701","US2193501051","New York Stock Exchange Inc."
"GPC","GENUINE PARTS","Equity","0.10","106.23","416,729.00","44,269,121.67","44,269,121.67","Consumer Discretionary","2367480","US3724601055","New York Stock Exchange Inc."
"NLOK","NORTONLIFELOCK INC","Equity","0.10","25.52","1,715,971.00","43,791,579.92","43,791,579.92","Information Technology","BJN4XN5","US6687711084","NASDAQ"
"CE","CELANESE CORP","Equity","0.10","123.12","353,978.00","43,581,771.36","43,581,771.36","Materials","B05MZT4","US1508701034","New York Stock Exchange Inc."
"EVRG","EVERGY INC","Equity","0.10","65.09","668,579.00","43,517,807.11","43,517,807.11","Utilities","BFMXGR0","US30034W1062","New York Stock Exchange Inc."
"CAH","CARDINAL HEALTH INC","Equity","0.10","50.58","859,370.00","43,466,934.60","43,466,934.60","Health Care","2175672","US14149Y1082","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.10","106.79","397,988.00","42,501,138.52","42,501,138.52","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
"CTL","CENTURYLINK INC","Equity","0.10","13.21","3,206,356.00","42,355,962.76","42,355,962.76","Communication","2185046","US1567001060","New York Stock Exchange Inc."
"MKL","MARKEL CORP","Equity","0.10","1,143.17","36,870.00","42,148,677.90","42,148,677.90","Financials","2566436","US5705351048","New York Stock Exchange Inc."
"ACGL","ARCH CAPITAL GROUP LTD","Equity","0.10","42.89","981,862.00","42,112,061.18","42,112,061.18","Financials","2740542","BMG0450A1053","NASDAQ"
"PXD","PIONEER NATURAL RESOURCE","Equity","0.10","151.37","277,689.00","42,033,783.93","42,033,783.93","Energy","2690830","US7237871071","New York Stock Exchange Inc."
"GRMN","GARMIN LTD","Equity","0.10","97.56","430,162.00","41,966,604.72","41,966,604.72","Consumer Discretionary","B3Z5T14","CH0114405324","NASDAQ"
"IFF","INTERNATIONAL FLAVORS & FRAGRANCES","Equity","0.10","129.02","317,279.00","40,935,336.58","40,935,336.58","Materials","2464165","US4595061015","New York Stock Exchange Inc."
"AJG","ARTHUR J GALLAGHER","Equity","0.10","95.23","429,765.00","40,926,520.95","40,926,520.95","Financials","2359506","US3635761097","New York Stock Exchange Inc."
"CNP","CENTERPOINT ENERGY INC","Equity","0.10","27.27","1,492,208.00","40,692,512.16","40,692,512.16","Utilities","2440637","US15189T1079","New York Stock Exchange Inc."
"WPC","W. P. CAREY REIT INC","Equity","0.09","80.04","501,679.00","40,154,387.16","40,154,387.16","Real Estate","B826YT8","US92936U1097","New York Stock Exchange Inc."
"COO","COOPER INC","Equity","0.09","321.29","124,763.00","40,085,104.27","40,085,104.27","Health Care","2222631","US2166484020","New York Stock Exchange Inc."
"MAS","MASCO CORP","Equity","0.09","47.99","833,911.00","40,019,388.89","40,019,388.89","Industrials","2570200","US5745991068","New York Stock Exchange Inc."
"QRVO","QUORVO INC","Equity","0.09","116.23","341,475.00","39,689,639.25","39,689,639.25","Information Technology","BR9YYP4","US74736K1016","NASDAQ"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","Equity","0.09","9.42","4,196,192.00","39,528,128.64","39,528,128.64","Financials","2113456","US0357104092","New York Stock Exchange Inc."
"L","LOEWS CORP","Equity","0.09","52.49","751,781.00","39,460,984.69","39,460,984.69","Financials","2523022","US5404241086","New York Stock Exchange Inc."
"LBRDK","LIBERTY BROADBAND CORP SERIES C","Equity","0.09","125.75","313,349.00","39,403,636.75","39,403,636.75","Communication","BRTLC06","US5303073051","NASDAQ"
"AES","AES CORP","Equity","0.09","19.90","1,969,376.00","39,190,582.40","39,190,582.40","Utilities","2002479","US00130H1059","New York Stock Exchange Inc."
"ATO","ATMOS ENERGY CORP","Equity","0.09","111.86","346,912.00","38,805,576.32","38,805,576.32","Utilities","2315359","US0495601058","New York Stock Exchange Inc."
"HST","HOST HOTELS & RESORTS REIT INC","Equity","0.09","18.55","2,089,794.00","38,765,678.70","38,765,678.70","Real Estate","2567503","US44107P1049","New York Stock Exchange Inc."
"LNT","ALLIANT ENERGY CORP","Equity","0.09","54.72","705,504.00","38,605,178.88","38,605,178.88","Utilities","2973821","US0188021085","NASDAQ"
"CBRE","CBRE GROUP INC CLASS A","Equity","0.09","61.29","627,507.00","38,459,904.03","38,459,904.03","Real Estate","B6WVMH3","US12504L1098","New York Stock Exchange Inc."
"LDOS","LEIDOS HOLDINGS INC","Equity","0.09","97.89","392,232.00","38,395,590.48","38,395,590.48","Information Technology","BDV82B8","US5253271028","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","0.09","46.70","817,571.00","38,180,565.70","38,180,565.70","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"FMC","FMC CORP","Equity","0.09","99.82","381,064.00","38,037,808.48","38,037,808.48","Materials","2328603","US3024913036","New York Stock Exchange Inc."
"XRAY","DENTSPLY SIRONA INC","Equity","0.09","56.59","661,888.00","37,456,241.92","37,456,241.92","Health Care","BYNPPC6","US24906P1093","NASDAQ"
"DRE","DUKE REALTY REIT CORP","Equity","0.09","34.67","1,078,751.00","37,400,297.17","37,400,297.17","Real Estate","2284084","US2644115055","New York Stock Exchange Inc."
"HRL","HORMEL FOODS CORP","Equity","0.09","45.11","825,774.00","37,250,665.14","37,250,665.14","Consumer Staples","2437264","US4404521001","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","0.09","346.54","106,365.00","36,859,727.10","36,859,727.10","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"LVS","LAS VEGAS SANDS CORP","Equity","0.09","69.04","527,253.00","36,401,547.12","36,401,547.12","Consumer Discretionary","B02T2J7","US5178341070","New York Stock Exchange Inc."
"NDAQ","NASDAQ INC","Equity","0.08","107.10","336,259.00","36,013,338.90","36,013,338.90","Financials","2965107","US6311031081","NASDAQ"
"MLM","MARTIN MARIETTA MATERIALS INC","Equity","0.08","279.64","128,530.00","35,942,129.20","35,942,129.20","Materials","2572079","US5732841060","New York Stock Exchange Inc."
"SIVB","SVB FINANCIAL GROUP","Equity","0.08","251.04","142,852.00","35,861,566.08","35,861,566.08","Financials","2808053","US78486Q1013","NASDAQ"
"STE","STERIS","Equity","0.08","152.42","234,554.00","35,750,720.68","35,750,720.68","Health Care","BFY8C75","IE00BFY8C754","New York Stock Exchange Inc."
"FNF","FIDELITY NATIONAL FINANCIAL INC","Equity","0.08","45.35","784,381.00","35,571,678.35","35,571,678.35","Financials","BNBRDD4","US31620R3030","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.08","90.95","389,217.00","35,399,286.15","35,399,286.15","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"J","JACOBS ENGINEERING GROUP INC","Equity","0.08","89.83","392,179.00","35,229,439.57","35,229,439.57","Industrials","2469052","US4698141078","New York Stock Exchange Inc."
"VICI","VICI PPTYS INC","Equity","0.08","25.55","1,372,688.00","35,072,178.40","35,072,178.40","Real Estate","BYWH073","US9256521090","New York Stock Exchange Inc."
"LNC","LINCOLN NATIONAL CORP","Equity","0.08","59.01","593,850.00","35,043,088.50","35,043,088.50","Financials","2516378","US5341871094","New York Stock Exchange Inc."
"NBL","NOBLE ENERGY INC","Equity","0.08","24.84","1,408,949.00","34,998,293.16","34,998,293.16","Energy","2640761","US6550441058","NASDAQ"
"TMUS","T MOBILE US INC","Equity","0.08","78.42","445,289.00","34,919,563.38","34,919,563.38","Communication","B94Q9V0","US8725901040","NASDAQ"
"ARNC","ARCONIC INC","Equity","0.08","30.77","1,129,054.00","34,740,991.58","34,740,991.58","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"FANG","DIAMONDBACK ENERGY INC","Equity","0.08","92.86","372,077.00","34,551,070.22","34,551,070.22","Energy","B7Y8YR3","US25278X1090","NASDAQ"
"FOXA","FOX CORP CLASS A","Equity","0.08","37.07","930,159.00","34,480,994.13","34,480,994.13","Communication","BJJMGL2","US35137L1052","NASDAQ"
"VNO","VORNADO REALTY TRUST REIT","Equity","0.08","66.50","513,570.00","34,152,405.00","34,152,405.00","Real Estate","2933632","US9290421091","New York Stock Exchange Inc."
"ALLY","ALLY FINANCIAL INC","Equity","0.08","30.56","1,116,591.00","34,123,020.96","34,123,020.96","Financials","B72XK05","US02005N1000","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.08","241.07","141,530.00","34,118,637.10","34,118,637.10","Health Care","2023607","US0311621009","NASDAQ"
"SJM","JM SMUCKER","Equity","0.08","104.13","326,805.00","34,030,204.65","34,030,204.65","Consumer Staples","2951452","US8326964058","New York Stock Exchange Inc."
"GL","GLOBE LIFE INC","Equity","0.08","105.25","313,943.00","33,042,500.75","33,042,500.75","Financials","BK6YKG1","US37959E1029","New York Stock Exchange Inc."
"UHS","UNIVERSAL HEALTH SERVICES INC CLAS","Equity","0.08","143.46","229,615.00","32,940,567.90","32,940,567.90","Health Care","2923785","US9139031002","New York Stock Exchange Inc."
"INFO","IHS MARKIT LTD","Equity","0.08","75.35","436,993.00","32,927,422.55","32,927,422.55","Industrials","BD0Q558","BMG475671050","New York Stock Exchange Inc."
"WRK","WESTROCK","Equity","0.08","42.91","756,913.00","32,479,136.83","32,479,136.83","Materials","BYR0914","US96145D1054","New York Stock Exchange Inc."
"ELAN","ELANCO ANIMAL HEALTH INC","Equity","0.08","29.45","1,100,271.00","32,402,980.95","32,402,980.95","Health Care","BF5L3T2","US28414H1032","New York Stock Exchange Inc."
"EMN","EASTMAN CHEMICAL","Equity","0.08","79.26","406,159.00","32,192,162.34","32,192,162.34","Materials","2298386","US2774321002","New York Stock Exchange Inc."
"MPW","MEDICAL PROPERTIES TRUST REIT INC","Equity","0.07","21.11","1,504,685.00","31,763,900.35","31,763,900.35","Real Estate","B0JL5L9","US58463J3041","New York Stock Exchange Inc."
"MRO","MARATHON OIL CORP","Equity","0.07","13.58","2,335,200.00","31,712,016.00","31,712,016.00","Energy","2910970","US5658491064","New York Stock Exchange Inc."
"ARMK","ARAMARK","Equity","0.07","43.40","727,853.00","31,588,820.20","31,588,820.20","Consumer Discretionary","BH3XG17","US03852U1060","New York Stock Exchange Inc."
"WM","WASTE MANAGEMENT INC","Equity","0.07","113.96","275,946.00","31,446,806.16","31,446,806.16","Industrials","2937667","US94106L1098","New York Stock Exchange Inc."
"K","KELLOGG","Equity","0.07","69.16","452,299.00","31,280,998.84","31,280,998.84","Consumer Staples","2486813","US4878361082","New York Stock Exchange Inc."
"REG","REGENCY CENTERS REIT CORP","Equity","0.07","63.09","494,696.00","31,210,370.64","31,210,370.64","Real Estate","2726177","US7588491032","NASDAQ"
"PKG","PACKAGING CORP OF AMERICA","Equity","0.07","111.99","278,451.00","31,183,727.49","31,183,727.49","Materials","2504566","US6951561090","New York Stock Exchange Inc."
"MXIM","MAXIM INTEGRATED PRODUCTS INC","Equity","0.07","61.51","504,115.00","31,008,113.65","31,008,113.65","Information Technology","2573760","US57772K1016","NASDAQ"
"NI","NISOURCE INC","Equity","0.07","27.84","1,110,205.00","30,908,107.20","30,908,107.20","Utilities","2645409","US65473P1057","New York Stock Exchange Inc."
"MYL","MYLAN NV","Equity","0.07","20.10","1,531,499.00","30,783,129.90","30,783,129.90","Health Care","BVFMFG8","NL0011031208","NASDAQ"
"VIAC","VIACOMCBS INC CLASS B","Equity","0.07","41.97","726,020.00","30,471,059.40","30,471,059.40","Communication","BKTNTR9","US92556H2067","NASDAQ"
"LUV","SOUTHWEST AIRLINES","Equity","0.07","53.98","562,162.00","30,345,504.76","30,345,504.76","Industrials","2831543","US8447411088","New York Stock Exchange Inc."
"RGA","REINSURANCE GROUP OF AMERICA INC","Equity","0.07","163.06","186,009.00","30,330,627.54","30,330,627.54","Financials","2731193","US7593516047","New York Stock Exchange Inc."
"DLTR","DOLLAR TREE INC","Equity","0.07","94.05","321,968.00","30,281,090.40","30,281,090.40","Consumer Discretionary","2272476","US2567461080","NASDAQ"
"SUI","SUN COMMUNITIES REIT INC","Equity","0.07","150.10","201,678.00","30,271,867.80","30,271,867.80","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","0.07","44.60","677,974.00","30,237,640.40","30,237,640.40","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"DISCK","DISCOVERY INC SERIES C","Equity","0.07","30.49","989,837.00","30,180,130.13","30,180,130.13","Communication","B3D7KG4","US25470F3029","NASDAQ"
"WTR","AQUA AMERICA INC","Equity","0.07","46.94","642,559.00","30,161,719.46","30,161,719.46","Utilities","2685234","US03836W1036","New York Stock Exchange Inc."
"PNW","PINNACLE WEST CORP","Equity","0.07","89.93","333,475.00","29,989,406.75","29,989,406.75","Utilities","2048804","US7234841010","New York Stock Exchange Inc."
"EQH","AXA EQUITABLE HOLDINGS INC","Equity","0.07","24.78","1,207,519.00","29,922,320.82","29,922,320.82","Financials","BYWV2Y6","US0545611057","New York Stock Exchange Inc."
"CBOE","CBOE GLOBAL MARKETS INC","Equity","0.07","120.00","248,421.00","29,810,520.00","29,810,520.00","Financials","B5834C5","US12503M1080","Cboe BZX formerly known as BATS"
"AAL","AMERICAN AIRLINES GROUP INC","Equity","0.07","28.68","1,037,119.00","29,744,572.92","29,744,572.92","Industrials","BCV7KT2","US02376R1023","NASDAQ"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Equity","0.07","77.80","381,128.00","29,651,758.40","29,651,758.40","Industrials","2955733","US9297401088","New York Stock Exchange Inc."
"ON","ON SEMICONDUCTOR CORP","Equity","0.07","24.38","1,214,430.00","29,607,803.40","29,607,803.40","Information Technology","2583576","US6821891057","NASDAQ"
"WRB","WR BERKLEY CORP","Equity","0.07","69.10","423,304.00","29,250,306.40","29,250,306.40","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.07","799.57","36,579.00","29,247,471.03","29,247,471.03","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"NRG","NRG ENERGY INC","Equity","0.07","39.75","733,467.00","29,155,313.25","29,155,313.25","Utilities","2212922","US6293775085","New York Stock Exchange Inc."
"VER","VEREIT INC","Equity","0.07","9.24","3,155,530.00","29,157,097.20","29,157,097.20","Real Estate","BYVVTJ1","US92339V1008","New York Stock Exchange Inc."
"DVN","DEVON ENERGY CORP","Equity","0.07","25.97","1,122,761.00","29,158,103.17","29,158,103.17","Energy","2480677","US25179M1036","New York Stock Exchange Inc."
"DOX","AMDOCS LTD","Equity","0.07","72.19","403,141.00","29,102,748.79","29,102,748.79","Information Technology","2256908","GB0022569080","NASDAQ"
"CPT","CAMDEN PROPERTY TRUST REIT","Equity","0.07","106.10","274,166.00","29,089,012.60","29,089,012.60","Real Estate","2166320","US1331311027","New York Stock Exchange Inc."
"VST","VISTRA ENERGY CORP","Equity","0.07","22.99","1,262,880.00","29,033,611.20","29,033,611.20","Utilities","BZ8VJQ8","US92840M1027","New York Stock Exchange Inc."
"NCLH","NORWEGIAN CRUISE LINE HOLDINGS LTD","Equity","0.07","58.41","494,387.00","28,877,144.67","28,877,144.67","Consumer Discretionary","B9CGTC3","BMG667211046","New York Stock Exchange Inc."
"NOV","NATIONAL OILWELL VARCO INC","Equity","0.07","25.05","1,149,967.00","28,806,673.35","28,806,673.35","Energy","2624486","US6370711011","New York Stock Exchange Inc."
"APA","APACHE CORP","Equity","0.07","25.59","1,119,539.00","28,649,003.01","28,649,003.01","Energy","2043962","US0374111054","New York Stock Exchange Inc."
"FRT","FEDERAL REALTY INVESTMENT TRUST RE","Equity","0.07","128.73","222,213.00","28,605,479.49","28,605,479.49","Real Estate","2333931","US3137472060","New York Stock Exchange Inc."
"CMA","COMERICA INC","Equity","0.07","71.75","398,021.00","28,558,006.75","28,558,006.75","Financials","2212870","US2003401070","New York Stock Exchange Inc."
"PHM","PULTEGROUP INC","Equity","0.07","38.80","734,350.00","28,492,780.00","28,492,780.00","Consumer Discretionary","2708841","US7458671010","New York Stock Exchange Inc."
"DXC","DXC TECHNOLOGY","Equity","0.07","37.59","750,042.00","28,194,078.78","28,194,078.78","Information Technology","BYXD7B3","US23355L1061","New York Stock Exchange Inc."
"DOV","DOVER CORP","Equity","0.07","115.26","242,768.00","27,981,439.68","27,981,439.68","Industrials","2278407","US2600031080","New York Stock Exchange Inc."
"AGNC","AGNC INVESTMENT REIT CORP","Equity","0.07","17.68","1,582,074.00","27,971,068.32","27,971,068.32","Financials","BYYHJL8","US00123Q1040","NASDAQ"
"CF","CF INDUSTRIES HOLDINGS INC","Equity","0.07","47.74","585,471.00","27,950,385.54","27,950,385.54","Materials","B0G4K50","US1252691001","New York Stock Exchange Inc."
"TAP","MOLSON COORS BREWING CLASS B","Equity","0.07","53.90","518,499.00","27,947,096.10","27,947,096.10","Consumer Staples","B067BM3","US60871R2094","New York Stock Exchange Inc."
"TRGP","TARGA RESOURCES CORP","Equity","0.07","40.83","681,425.00","27,822,582.75","27,822,582.75","Energy","B55PZY3","US87612G1013","New York Stock Exchange Inc."
"LW","LAMB WESTON HOLDINGS INC","Equity","0.07","86.03","322,923.00","27,781,065.69","27,781,065.69","Consumer Staples","BDQZFJ3","US5132721045","New York Stock Exchange Inc."
"LKQ","LKQ CORP","Equity","0.06","35.70","775,939.00","27,701,022.30","27,701,022.30","Consumer Discretionary","2971029","US5018892084","NASDAQ"
"UGI","UGI CORP","Equity","0.06","45.16","613,274.00","27,695,453.84","27,695,453.84","Utilities","2910118","US9026811052","New York Stock Exchange Inc."
"LPT","LIBERTY PROPERTY REIT TRUST","Equity","0.06","60.05","458,415.00","27,527,820.75","27,527,820.75","Real Estate","2513681","US5311721048","New York Stock Exchange Inc."
"ADSK","AUTODESK INC","Equity","0.06","183.46","149,880.00","27,496,984.80","27,496,984.80","Information Technology","2065159","US0527691069","NASDAQ"
"USFD","US FOODS HOLDING CORP","Equity","0.06","41.89","650,485.00","27,248,816.65","27,248,816.65","Consumer Staples","BYVFC94","US9120081099","New York Stock Exchange Inc."
"WHR","WHIRLPOOL CORP","Equity","0.06","147.53","184,666.00","27,243,774.98","27,243,774.98","Consumer Discretionary","2960384","US9633201069","New York Stock Exchange Inc."
"FWONK","LIBERTY MEDIA FORMULA ONE CORP SER","Equity","0.06","45.97","589,084.00","27,077,246.06","27,077,246.06","Communication","BD8QGD5","US5312298541","NASDAQ"
"DISH","DISH NETWORK CORP CLASS A","Equity","0.06","35.47","761,622.00","27,014,732.34","27,014,732.34","Communication","2303581","US25470M1099","NASDAQ"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","Equity","0.06","42.35","637,462.00","26,996,515.70","26,996,515.70","Real Estate","2043274","US6819361006","New York Stock Exchange Inc."
"SNA","SNAP ON INC","Equity","0.06","169.40","158,624.00","26,870,905.60","26,870,905.60","Industrials","2818740","US8330341012","New York Stock Exchange Inc."
"NNN","NATIONAL RETAIL PROPERTIES REIT IN","Equity","0.06","53.62","500,883.00","26,857,346.46","26,857,346.46","Real Estate","2211811","US6374171063","New York Stock Exchange Inc."
"BWA","BORGWARNER INC","Equity","0.06","43.38","614,790.00","26,669,590.20","26,669,590.20","Consumer Discretionary","2111955","US0997241064","New York Stock Exchange Inc."
"OGE","OGE ENERGY CORP","Equity","0.06","44.47","595,694.00","26,490,512.18","26,490,512.18","Utilities","2657802","US6708371033","New York Stock Exchange Inc."
"LEN","LENNAR A CORP","Equity","0.06","55.79","474,065.00","26,448,086.35","26,448,086.35","Consumer Discretionary","2511920","US5260571048","New York Stock Exchange Inc."
"GLPI","GAMING AND LEISURE PROPERTIES REIT","Equity","0.06","43.05","603,582.00","25,984,205.10","25,984,205.10","Real Estate","BFPK4S5","US36467J1088","NASDAQ"
"TRMB","TRIMBLE INC","Equity","0.06","41.69","622,298.00","25,943,603.62","25,943,603.62","Information Technology","2903958","US8962391004","NASDAQ"
"KRC","KILROY REALTY REIT CORP","Equity","0.06","83.90","306,033.00","25,676,168.70","25,676,168.70","Real Estate","2495529","US49427F1084","New York Stock Exchange Inc."
"ZION","ZIONS BANCORPORATION","Equity","0.06","51.92","492,291.00","25,559,748.72","25,559,748.72","Financials","2989828","US9897011071","NASDAQ"
"WU","WESTERN UNION","Equity","0.06","26.78","954,072.00","25,550,048.16","25,550,048.16","Information Technology","B1F76F9","US9598021098","New York Stock Exchange Inc."
"CY","CYPRESS SEMICONDUCTOR CORP","Equity","0.06","23.33","1,091,992.00","25,476,173.36","25,476,173.36","Information Technology","2244549","US2328061096","NASDAQ"
"BRO","BROWN & BROWN INC","Equity","0.06","39.48","644,144.00","25,430,805.12","25,430,805.12","Financials","2692687","US1152361010","New York Stock Exchange Inc."
"RJF","RAYMOND JAMES INC","Equity","0.06","89.46","284,064.00","25,412,365.44","25,412,365.44","Financials","2718992","US7547301090","New York Stock Exchange Inc."
"HSIC","HENRY SCHEIN INC","Equity","0.06","66.72","374,796.00","25,006,389.12","25,006,389.12","Health Care","2416962","US8064071025","NASDAQ"
"KIM","KIMCO REALTY REIT CORP","Equity","0.06","20.71","1,204,776.00","24,950,910.96","24,950,910.96","Real Estate","2491594","US49446R1095","New York Stock Exchange Inc."
