Year,Month,Day,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
1974,12,01,,,,8.53,,7.2,11.1
1975,01,01,,,,7.13,-4.7,8.1,11.5
1975,02,01,,,,6.24,,8.1,11.7
1975,03,01,,,,5.54,,8.6,11.4
1975,04,01,,,,5.49,3.1,8.8,11.3
1975,05,01,,,,5.22,,9,10.5
1975,06,01,,,,5.55,,8.8,9.6
1975,07,01,,,,6.1,6.8,8.6,9.1
1975,08,01,,,,6.14,,8.4,8.2
1975,09,01,,,,6.24,,8.4,7.7
1975,10,01,,,,5.82,5.5,8.4,7.0
1975,11,01,,,,5.22,,8.3,6.8
1975,12,01,,,,5.2,,8.2,6.7
1976,01,01,,,,4.87,9.3,7.9,6.7
1976,02,01,,,,4.77,,7.7,6.5
1976,03,01,,,,4.84,,7.6,6.6
1976,04,01,,,,4.82,3.1,7.7,6.4
1976,05,01,,,,5.29,,7.4,6.5
1976,06,01,,,,5.48,,7.6,6.5
1976,07,01,,,,5.31,2.1,7.8,6.7
1976,08,01,,,,5.29,,7.8,6.8
1976,09,01,,,,5.25,,7.6,6.8
1976,10,01,,,,5.02,3,7.7,6.7
1976,11,01,,,,4.95,,7.8,6.5
1976,12,01,,,,4.65,,7.8,6.1
1977,01,01,,,,4.61,4.7,7.5,6.3
1977,02,01,,,,4.68,,7.6,6.3
1977,03,01,,,,4.69,,7.4,6.2
1977,04,01,,,,4.73,8.1,7.2,6.3
1977,05,01,,,,5.35,,7,6.3
1977,06,01,,,,5.39,,7.2,6.6
1977,07,01,,,,5.42,7.3,6.9,6.3
1977,08,01,,,,5.9,,7,6.2
1977,09,01,,,,6.14,,6.8,6.2
1977,10,01,,,,6.47,0,6.8,6.0
1977,11,01,,,,6.51,,6.8,5.9
1977,12,01,,,,6.56,,6.4,6.5
1978,01,01,,,,6.7,1.4,6.4,6.4
1978,02,01,,,,6.78,,6.3,6.2
1978,03,01,,,,6.79,,6.3,6.3
1978,04,01,,,,6.89,16.5,6.1,6.5
1978,05,01,,,,7.36,,6,6.8
1978,06,01,,,,7.6,,5.9,7.0
1978,07,01,,,,7.81,4,6.2,7.4
1978,08,01,,,,8.04,,5.9,7.5
1978,09,01,,,,8.45,,6,7.9
1978,10,01,,,,8.96,5.5,5.8,8.4
1978,11,01,,,,9.76,,5.9,8.7
1978,12,01,,,,10.03,,6,8.5
1979,01,01,,,,10.07,0.8,5.9,8.6
1979,02,01,,,,10.06,,5.9,9.2
1979,03,01,,,,10.09,,5.8,9.3
1979,04,01,,,,10.01,0.5,5.8,9.3
1979,05,01,,,,10.24,,5.6,9.4
1979,06,01,,,,10.29,,5.7,9.3
1979,07,01,,,,10.47,2.9,5.7,9.6
1979,08,01,,,,10.94,,6,10.0
1979,09,01,,,,11.43,,5.9,9.9
1979,10,01,,,,13.77,1,6,10.1
1979,11,01,,,,13.18,,5.9,10.6
1979,12,01,,,,13.78,,6,11.3
1980,01,01,,,,13.82,1.3,6.3,12.0
1980,02,01,,,,14.13,,6.3,12.0
1980,03,01,,,,17.19,,6.3,12.5
1980,04,01,,,,17.61,-7.9,6.9,13.0
1980,05,01,,,,10.98,,7.5,13.3
1980,06,01,,,,9.47,,7.6,13.6
1980,07,01,,,,9.03,-0.6,7.8,12.4
1980,08,01,,,,9.61,,7.7,11.8
1980,09,01,,,,10.87,,7.5,12.0
1980,10,01,,,,12.81,7.6,7.5,12.3
1980,11,01,,,,15.85,,7.5,12.1
1980,12,01,,,,18.9,,7.2,12.2
1981,01,01,,,,19.08,8.5,7.5,11.4
1981,02,01,,,,15.93,,7.4,10.9
1981,03,01,,,,14.7,,7.4,10.0
1981,04,01,,,,15.72,-2.9,7.2,9.5
1981,05,01,,,,18.52,,7.5,9.5
1981,06,01,,,,19.1,,7.5,9.4
1981,07,01,,,,19.04,4.7,7.2,11.1
1981,08,01,,,,17.82,,7.4,11.6
1981,09,01,,,,15.87,,7.6,11.8
1981,10,01,,,,15.08,-4.6,7.9,10.9
1981,11,01,,,,13.31,,8.3,10.2
1981,12,01,,,,12.37,,8.5,9.5
1982,01,01,,,,13.22,-6.5,8.6,9.3
1982,02,01,,,,14.78,,8.9,9.1
1982,03,01,,,,14.68,,9,8.8
1982,04,01,,,,14.94,2.2,9.3,8.9
1982,05,01,,,,14.45,,9.4,8.7
1982,06,01,,,,14.15,,9.6,8.6
1982,07,01,,,,12.59,-1.4,9.8,7.6
1982,08,01,,,,10.12,,9.8,7.1
1982,09,01,,,,10.31,,10.1,5.9
1982,09,27,10.25,,,,,,
1982,10,01,10,,,9.71,0.4,10.4,5.9
1982,10,07,9.5,,,,,,
1982,11,01,9.5,,,9.2,,10.8,5.3
1982,11,19,9,,,,,,
1982,12,01,9,,,8.95,,10.8,4.5
1982,12,14,8.5,,,,,,
1983,01,01,8.5,,,8.68,5.3,10.4,4.7
1983,02,01,8.5,,,8.51,,10.4,4.7
1983,03,01,8.5,,,8.77,,10.3,4.7
1983,03,31,8.625,,,,,,
1983,04,01,8.625,,,8.8,9.4,10.2,4.3
1983,05,01,8.625,,,8.63,,10.1,3.6
1983,05,25,8.75,,,,,,
1983,06,01,8.75,,,8.98,,10.1,2.9
1983,06,24,9,,,,,,
1983,07,01,9,,,9.37,8.1,9.4,3.0
1983,07,14,9.25,,,,,,
1983,07,20,9.4375,,,,,,
1983,08,01,9.4375,,,9.56,,9.5,3.0
1983,08,11,9.5625,,,,,,
1983,08,17,9.5,,,,,,
1983,09,01,9.5,,,9.45,,9.2,3.5
1983,09,15,9.375,,,,,,
1983,10,01,9.375,,,9.48,8.5,8.8,3.7
1983,11,01,9.375,,,9.34,,8.5,4.3
1983,12,01,9.375,,,9.47,,8.3,4.8
1984,01,01,9.375,,,9.56,8.2,8,4.8
1984,02,01,9.375,,,9.59,,7.8,4.8
1984,03,01,9.375,,,9.91,,7.8,5.0
1984,03,29,10.5,,,,,,
1984,04,01,10.5,,,10.29,7.2,7.7,5.0
1984,05,01,10.5,,,10.32,,7.4,5.2
1984,06,01,10.5,,,11.06,,7.2,5.1
1984,07,01,10.5,,,11.23,4,7.5,5.0
1984,07,05,11,,,,,,
1984,07,19,11.25,,,,,,
1984,08,01,11.25,,,11.64,,7.5,5.1
1984,08,09,11.5,,,,,,
1984,09,01,11.5,,,11.3,,7.3,5.1
1984,09,20,11.25,,,,,,
1984,09,27,11,,,,,,
1984,10,01,11,,,9.99,3.2,7.4,4.9
1984,10,11,10.5,,,,,,
1984,10,18,10,,,,,,
1984,11,01,10,,,9.43,,7.2,4.6
1984,11,08,9.5,,,,,,
1984,11,23,9,,,,,,
1984,12,01,9,,,8.38,,7.3,4.7
1984,12,06,8.75,,,,,,
1984,12,19,8.5,,,,,,
1984,12,24,8.125,,,,,,
1985,01,01,8.125,,,8.35,4,7.3,4.5
1985,01,24,8.25,,,,,,
1985,02,01,8.25,,,8.5,,7.2,4.7
1985,02,14,8.375,,,,,,
1985,03,01,8.375,,,8.58,,7.2,4.8
1985,03,28,8.5,,,,,,
1985,04,01,8.5,,,8.27,3.7,7.3,4.5
1985,04,25,8.25,,,,,,
1985,05,01,8.25,,,7.97,,7.2,4.5
1985,05,20,7.75,,,,,,
1985,06,01,7.75,,,7.53,,7.4,4.4
1985,07,01,7.75,,,7.88,6.4,7.4,4.2
1985,07,11,7.6875,,,,,,
1985,08,01,7.75,,,7.9,,7.1,4.1
1985,08,21,7.8125,,,,,,
1985,09,01,7.8125,,,7.92,,7.1,4.0
1985,09,06,8,,,,,,
1985,10,01,8,,,7.99,3,7.1,4.1
1985,11,01,8,,,8.05,,7,4.4
1985,12,01,8,,,8.27,,7,4.3
1985,12,18,7.75,,,,,,
1986,01,01,7.75,,,8.14,3.8,6.7,4.4
1986,02,01,7.75,,,7.86,,7.2,4.2
1986,03,01,7.75,,,7.48,,7.2,4.1
1986,03,07,7.25,,,,,,
1986,04,01,7.25,,,6.99,1.9,7.1,4.2
1986,04,02,7.3125,,,,,,
1986,04,21,6.75,,,,,,
1986,05,01,6.75,,,6.85,,7.2,4.0
1986,05,22,6.8125,,,,,,
1986,06,01,6.8125,,,6.92,,7.2,4.0
1986,06,05,6.875,,,,,,
1986,07,01,6.875,,,6.56,4.1,7,4.1
1986,07,11,6.375,,,,,,
1986,08,01,6.375,,,6.17,,6.9,4.0
1986,08,21,5.875,,,,,,
1986,09,01,5.875,,,5.89,,7,4.1
1986,10,01,5.875,,,5.85,2.1,7,4.0
1986,11,01,5.875,,,6.04,,6.9,3.8
1986,12,01,5.875,,,6.91,,6.6,3.8
1987,01,01,5.875,,,6.43,2.8,6.6,3.8
1987,01,05,6,,,,,,
1987,02,01,6,,,6.1,,6.6,3.8
1987,03,01,6,,,6.13,,6.6,4.0
1987,04,01,6,,,6.37,4.6,6.3,4.2
1987,04,30,6.5,,,,,,
1987,05,01,6.5,,,6.85,,6.3,4.2
1987,05,22,6.75,,,,,,
1987,06,01,6.75,,,6.73,,6.2,4.1
1987,07,01,6.75,,,6.58,3.7,6.1,4.0
1987,07,02,6.625,,,,,,
1987,08,01,6.625,,,6.73,,6,4.2
1987,08,27,6.75,,,,,,
1987,09,01,6.75,,,7.22,,5.9,4.3
1987,09,03,6.875,,,,,,
1987,09,04,7.25,,,,,,
1987,09,24,7.3125,,,,,,
1987,10,01,7.3125,,,7.29,6.8,6,4.3
1987,11,01,7.3125,,,6.69,,5.8,4.4
1987,11,04,6.8125,,,,,,
1987,12,01,6.8125,,,6.77,,5.7,4.2
1988,01,01,6.8125,,,6.83,2.3,5.7,4.3
1988,01,28,6.625,,,,,,
1988,02,01,6.625,,,6.58,,5.7,4.3
1988,02,11,6.5,,,,,,
1988,03,01,6.5,,,6.58,,5.7,4.4
1988,03,30,6.75,,,,,,
1988,04,01,6.75,,,6.87,5.4,5.4,4.3
1988,05,01,6.75,,,7.09,,5.6,4.3
1988,05,09,7,,,,,,
1988,05,25,7.25,,,,,,
1988,06,01,7.25,,,7.51,,5.4,4.5
1988,06,22,7.4375,,,,,,
1988,07,01,7.5,,,7.75,2.3,5.4,4.5
1988,07,19,7.6875,,,,,,
1988,08,01,7.6875,,,8.01,,5.6,4.4
1988,08,08,7.75,,,,,,
1988,08,09,8.125,,,,,,
1988,09,01,8.125,,,8.19,,5.4,4.4
1988,10,01,8.125,,,8.3,5.4,5.4,4.5
1988,11,01,8.125,,,8.35,,5.3,4.4
1988,11,17,8.3125,,,,,,
1988,11,22,8.375,,,,,,
1988,12,01,8.375,,,8.76,,5.3,4.7
1988,12,15,8.6875,,,,,,
1989,01,01,8.6875,,,9.12,4.1,5.4,4.6
1989,01,05,9,,,,,,
1989,02,01,9,,,9.36,,5.2,4.8
1989,02,09,9.125,,,,,,
1989,02,14,9.3125,,,,,,
1989,02,24,9.75,,,,,,
1989,03,01,9.75,,,9.85,,5,4.7
1989,04,01,9.75,,,9.84,3.2,5.2,4.6
1989,05,01,9.75,,,9.81,,5.2,4.6
1989,05,17,9.8125,,,,,,
1989,06,01,9.8125,,,9.53,,5.3,4.5
1989,06,06,9.5625,,,,,,
1989,07,01,9.5625,,,9.24,3,5.2,4.6
1989,07,07,9.3125,,,,,,
1989,07,27,9.0625,,,,,,
1989,08,01,9.0625,,,8.99,,5.2,4.4
1989,09,01,9.0625,,,9.02,,5.3,4.3
1989,10,01,9.0625,,,8.84,0.9,5.3,4.3
1989,10,19,8.75,,,,,,
1989,11,01,8.75,,,8.55,,5.4,4.4
1989,11,06,8.5,,,,,,
1989,12,01,8.5,,,8.45,,5.4,4.4
1989,12,20,8.25,,,,,,
1990,01,01,8.25,,,8.23,4.5,5.4,4.4
1990,02,01,8.25,,,8.24,,5.3,4.6
1990,03,01,8.25,,,8.28,,5.2,4.9
1990,04,01,8.25,,,8.26,1.6,5.4,4.8
1990,05,01,8.25,,,8.18,,5.4,4.8
1990,06,01,8.25,,,8.29,,5.2,4.9
1990,07,01,8.25,,,8.15,0.1,5.5,5.0
1990,07,13,8,,,,,,
1990,08,01,8,,,8.13,,5.7,5.5
1990,09,01,8,,,8.2,,5.9,5.5
1990,10,01,8,,,8.11,-3.4,5.9,5.3
1990,10,29,7.75,,,,,,
1990,11,01,7.75,,,7.81,,6.2,5.3
1990,11,14,7.5,,,,,,
1990,12,01,7.5,,,7.31,,6.3,5.2
1990,12,07,7.25,,,,,,
1990,12,19,7,,,,,,
1991,01,01,7,,,6.91,-1.9,6.4,5.6
1991,01,09,6.75,,,,,,
1991,02,01,6.25,,,6.25,,6.6,5.6
1991,03,01,6.25,,,6.12,,6.8,5.2
1991,03,08,6,,,,,,
1991,04,01,6,,,5.91,3.1,6.7,5.1
1991,04,30,5.75,,,,,,
1991,05,01,5.75,,,5.78,,6.9,5.1
1991,06,01,5.75,,,5.9,,6.9,5.0
1991,07,01,5.75,,,5.82,1.9,6.8,4.8
1991,08,01,5.75,,,5.66,,6.9,4.6
1991,08,06,5.5,,,,,,
1991,09,01,5.5,,,5.45,,6.9,4.5
1991,09,13,5.25,,,,,,
1991,10,01,5.25,,,5.21,1.8,7,4.4
1991,10,31,5,,,,,,
1991,11,01,5,,,4.81,,7,4.5
1991,11,06,4.75,,,,,,
1991,12,01,4.75,,,4.43,,7.3,4.4
1991,12,06,4.5,,,,,,
1991,12,20,4,,,,,,
1992,01,01,4,,,4.03,4.8,7.3,3.9
1992,02,01,4,,,4.06,,7.4,3.8
1992,03,01,4,,,3.98,,7.4,3.9
1992,04,01,4,,,3.73,4.5,7.4,3.9
1992,04,09,3.75,,,,,,
1992,05,01,3.75,,,3.82,,7.6,3.8
1992,06,01,3.75,,,3.76,,7.8,3.8
1992,07,01,3.75,,,3.25,3.9,7.7,3.7
1992,07,02,3.25,,,,,,
1992,08,01,3.25,,,3.3,,7.6,3.5
1992,09,01,3.25,,,3.22,,7.6,3.3
1992,09,04,3,,,,,,
1992,10,01,3,,,3.1,4.1,7.3,3.5
1992,11,01,3,,,3.09,,7.4,3.4
1992,12,01,3,,,2.92,,7.4,3.3
1993,01,01,3,,,3.02,0.8,7.3,3.5
1993,02,01,3,,,3.03,,7.1,3.6
1993,03,01,3,,,3.07,,7,3.4
1993,04,01,3,,,2.96,2.4,7.1,3.5
1993,05,01,3,,,3,,7.1,3.4
1993,06,01,3,,,3.04,,7,3.3
1993,07,01,3,,,3.06,2,6.9,3.2
1993,08,01,3,,,3.03,,6.8,3.3
1993,09,01,3,,,3.09,,6.7,3.2
1993,10,01,3,,,2.99,5.4,6.8,3.0
1993,11,01,3,,,3.02,,6.6,3.1
1993,12,01,3,,,2.96,,6.5,3.2
1994,01,01,3,,,3.05,4,6.6,2.9
1994,02,01,3,,,3.25,,6.6,2.8
1994,02,04,3.25,,,,,,
1994,03,01,3.25,,,3.34,,6.5,2.9
1994,03,22,3.5,,,,,,
1994,04,01,3.5,,,3.56,5.6,6.4,2.8
1994,04,18,3.75,,,,,,
1994,05,01,3.75,,,4.01,,6.1,2.8
1994,05,17,4.25,,,,,,
1994,06,01,4.25,,,4.25,,6.1,2.9
1994,07,01,4.25,,,4.26,2.4,6.1,2.9
1994,08,01,4.25,,,4.47,,6,2.9
1994,08,16,4.75,,,,,,
1994,09,01,4.75,,,4.73,,5.9,3.0
1994,10,01,4.75,,,4.76,4.6,5.8,2.9
1994,11,01,4.75,,,5.29,,5.6,2.8
1994,11,15,5.5,,,,,,
1994,12,01,5.5,,,5.45,,5.5,2.6
1995,01,01,5.5,,,5.53,1.4,5.6,2.9
1995,02,01,6,,,5.92,,5.4,3.0
1995,03,01,6,,,5.98,,5.4,3.0
1995,04,01,6,,,6.05,1.4,5.8,3.1
1995,05,01,6,,,6.01,,5.6,3.1
1995,06,01,6,,,6,,5.6,3.0
1995,07,01,6,,,5.85,3.5,5.7,3.0
1995,07,06,5.75,,,,,,
1995,08,01,5.75,,,5.74,,5.7,2.9
1995,09,01,5.75,,,5.8,,5.6,2.9
1995,10,01,5.75,,,5.76,2.9,5.5,3.0
1995,11,01,5.75,,,5.8,,5.6,3.0
1995,12,01,5.75,,,5.6,,5.6,3.0
1995,12,19,5.5,,,,,,
1996,01,01,5.5,,,5.56,2.7,5.6,3.0
1996,01,31,5.25,,,,,,
1996,02,01,5.25,,,5.22,,5.5,2.9
